sigla_uf,id_municipio,nome_municipio,pib,pibpercapita,densidade,ano,media_ideb
BA,2901700,Antônio Cardoso-BA,109844253,9395.62509622787,25.2058380944224,2019,2.3
AP,1600550,Pracuúba-AP,67289498,13476.7670739035,40.910081150264,2019,2.5
RN,2408706,Paraú-RN,39213860,10354.8613678373,92.8685714285714,2019,2.56666666666667
PA,1502806,Curralinho-PA,494536494,14591.1100817278,37.4055960613656,2019,2.56666666666667
RR,1400704,Uiramutã-RR,111043156,10754.7850847458,16.5274154893213,2019,2.6
AL,2703759,Jequiá Da Praia-AL,209606759,18032.2401066758,41.2064097483654,2019,7.65
SP,3516507,Gabriel Monteiro-SP,74118403,26699.7128962536,90.3252367229311,2019,7.6
SP,3537701,Piacatu-SP,91781348,15498.3701452212,91.4020725878957,2019,7.3
SP,3545159,Saltinho-SP,245300038,30002.4508317025,108.445813688276,2019,7.1
RS,4306452,Dois Lajeados-RS,96464367,28422.029169122,102.706104468217,2019,7.1
